recipe_id,ingredient_full
103,"{'꽈리고추': '27~30개', '부침가루': '2T', '고추가루': '1T', '간장': '2T', '매실액': '1T', '올리고당': '1T', '파': '1T', '마늘': '1/2T', '참기름': '1/2T'}"
104,"{'소고기_다짐육': '480g', '양파': '2개', '고추장': '9T', '마늘': '2T', '후추': '1T', '간장': '2T', '설탕': '3.5T', '참기름': '1T', '물엿': '생략가능 1T'}"
105,"{'풋고추': '8개', '돼지고기_다짐육': '140g', '당근': '1.5cm', '파': '10cm', '계란': '1개', '마늘': '1T', '맛술': '3T', '후추': '3번', '맛소금': '1/2T', '참기름': '1T', '부침가루': '3스푼'}"
106,"{'콩나물': '450g', '소금': '1/2티스푼', '참기름': '2테이블스푼', '깨': '1테이블스푼', '마늘': '1테이블스푼', '파': '3테이블스푼'}"
107,"{'어묵': '200g', '배추': '2장', '마늘': '2톨', '올리브오일': '2큰술', '간장': '1큰술', '케찹': '1.5큰술', '올리고당': '1/2큰술', '깨': '약간'}"
108,"{'도토리묵': '500g', '양파': '1/2개', '오이': '1개', '상추': '5장', '당근': '적당량', '고추가루': '4T', '진간장': '4T', '설탕': '3T', '식초': '3T', '마늘': '1T', '참기름': '2T'}"
109,"{'감자': '2개', '양파': '1/2개', '꽈리고추': '1개', '간장': '5스푼', '설탕': '2스푼', '파': '1.5스푼', '마늘': '1스푼', '참기름': '0.8스푼', '깨': '1/2스푼', '후추': '약간'}"
110,"{'브로콜리': '1송이', '두부': '1모', '굵은소금': '약간', '소금': '1/4큰술', '참기름': '1큰술', '깨': '1/2큰술', '설탕': '1/3큰술'}"
111,"{'두부': '1/2모', '양파': '40g 1/2개', '파': '1/4개', '계란': '1개', '마늘': '1/2큰술', '고추가루': '1큰술', '설탕': '1/2큰술', '간장': '1.5큰술', '물': '7큰술', '참기름': '약간', '후추': '약간'}"
112,{}
113,"{'무': '1개', '물': '2컵', '설탕': '1컵', '식초': '1컵', '소금': '1/2T'}"
114,"{'다시마': '5 5CM 2장', '물': '200ml', '계란': '6개', '맛술': '1T', '새우': '1T', '설탕': '2ts', '맛소금': '1ts', '참기름': '1T', '파': '2T', '당근': '1T'}"
115,"{'어묵': '3장', '버섯': '2개', '양파': '1/2개', '꽈리고추': '1개', '고추': '1/2개', '파': '1/2대', '마늘': '1T', '식용유': '5T', '후춧가루': '약간', '깨': '약간', '진간장': '2.5T', '설탕': '1t', '맛술': '1T', '굴': '1t', '고추가루': '1T', '물엿': '1T', '물': '50cc'}"
116,"{'감자': '3개', '당근': '1개', '양파': '1/2개', '진간장': '2T', '고추장': '크게 1T', '고추가루': '2T', '마늘': '1/2T', '올리고당': '2T', '참기름': '1/2T', '후추': '톡톡', '깨': '톡톡'}"
117,{}
118,"{'감자': '4개 14개', '물': '1/2컵', '고추가루': '2큰술', '간장': '3큰술', '소고기_양지': '1작은술', '식용유': '1큰술', '파': '1뿌리', '마늘': '1큰술', '양파': '1개'}"
119,"{'황태': '2움큼', '고추장': '2T', '설탕': '1/2T', '진간장': '1T', '참기름': '1/2T', '마늘': '1/2T', '카놀라유': '약간', '깨': '1/2T'}"
120,"{'배추': '2포기', '된장': '2큰술', '마늘': '1큰술', '파': '2큰술', '참기름': '1큰술', '깨': '약간', '소금': '약간'}"
121,"{'어묵': '40알', '양파': '1/2개', '파': '1/2뿌리', '간장': '2큰술', '고추장': '1숟가락', '설탕': '1숟가락', '올리고당': '1티스푼', '식용유': '1숟가락', '깨': '약간'}"
122,{}
123,"{'어묵': '3장', '양파': '1/2개', '파': '1대', '꽈리고추': '2개', '마늘': '1/2숟가락', '설탕': '1숟가락', '간장': '3숟가락', '식용유': '2숟가락', '물': '1/2종이컵', '참기름': '1/2숟가락'}"
124,{}
125,"{'어묵': '5장', '맛살': '3줄', '햄/소시지': '10개', '양파': '1/2개', '식용유': '약간', '맛소금': '1꼬집', '후추': '약간', '간장': '2T', '올리고당': '3T'}"
126,"{'버섯': '10개', '양파': '1/2개', '당근': '1/4개', '진간장': '1스푼', '굴': '1스푼', '마늘': '1/2스푼', '파': '약간', '들기름': '1/2스푼', '깨': '약간'}"
127,"{'두부': '1개', '물': '6T', '멸치': '1T', '김': '약간', '참기름': '1T', '간장': '4T', '깨': '약간', '파': '1 2T', '마늘': '0.5T', '꽈리고추': '1개', '고추가루': '2T'}"
128,"{'계란': '4개', '맛살': '4개', '소금': '적당량', '후추': '적당량'}"
129,"{'진미채': '1줌', '간장': '1숟가락', '설탕': '1숟가락', '올리고당': '1숟가락', '들기름': '1숟가락', '깨': '약간'}"
130,"{'감자': '2개', '당근': '5cm 1/3개', '햄/소시지': '5cm 1/3개', '꽈리고추': '2개', '국간장': '2큰술', '진간장': '2T', '올리고당': '2T', '설탕': '2T', '매일액': '1T', '마늘': '1/2T', '고추가루': '1T', '후추': '약간', '깨': '약간'}"
131,"{'배추': '1/4통', '된장': '100ml', '맛술': '1숟가락', '마늘': '1숟가락', '마요네즈': '1숟가락', '참기름': '1숟가락', '물엿': '1숟가락', '고추가루': '1숟가락', '파': '1숟가락'}"
132,{}
133,"{'세발나물': '1봉지', '무': '1/2개', '고추장': '1T', '고추가루': '2T', '올리고당': '2T', '설탕': '1T', '식초': '3T', '소금': '1/3T', '참기름': '1T', '깨': '1T', '마늘': '0.5T'}"
134,"{'오이': '1개', '달래': '1팩', '간장': '2큰술', '소금': '3꼬집', '고추가루': '2큰술', '마늘': '1큰술', '참기름': '2큰술', '매실청': '2큰술', '깨': '솔솔'}"
135,"{'깻잎': '40장', '양파': '1/4개', '파': '2T', '양조간장 진간장': '2.5T 3T', '고추가루': '1T', '마늘': '1T', '액젓': '1T', '설탕': '1T', '물': '2T', '참기름': '1T'}"
136,"{'숙주나물': '410g', '파': '10cm', '당근': '1cm', '마늘': '1T', '참기름': '1.5T', '맛소금': '1/2T', '깨': '적당량'}"
137,"{'맛살': '10개', '계란': '3개', '버섯': '1묶음', '옥수수': '4스푼'}"
138,"{'두부': '1모', '양파': '1/4개', '간장': '3T', '설탕': '2T', '고추가루': '3T', '새우': '1/2T', '참기름': '1/2T', '깨': '1/2T', '파': '1T', '마늘': '1/2T', '물': '1/2컵'}"
139,"{'어묵': '1봉지', '파프리카': '조금', '맛살': '3줄', '맛간장': '2.5큰술', '올리고당': '2', '후추': '톡톡', '카놀라유': '적당량'}"
140,{}
141,{}
142,"{'가지': '2개', '진간장': '3큰술', '고추가루': '1큰술', '설탕': '0.5큰술', '마늘': '0.5큰술', '매실청': '0.5큰술', '참기름': '0.5큰술', '파': '1큰술', '깨': '0.5큰술'}"
143,"{'오이': '또는 2개', '양파': '1개', '마늘': '2테이블스푼', '간장': '1T', '설탕': '2t', '식초': '2t', '레드페퍼 or땡초': '조금', '참기름': '1t'}"
144,"{'오이': '1개', '양파': '1/2개', '파': '1/2대', '고추가루': '2T', '설탕': '2T', '간장': '1T', '식초': '5T', '소금': '0.5T'}"
145,"{'오이': '2개', '소금': '1스푼', '마늘': '1스푼', '참기름': '1스푼', '깨': '약간'}"
146,"{'어묵': '4장', '양파': '1/2개', '파': '조금', '마늘': '1/2큰술', '설탕': '1/2큰술', '맛간장 시판용가능': '2큰술', '깨': '1작은술', '참기름': '1/2작은술', '식용유': '2큰술', '생수': '2큰술'}"
147,"{'가지': '4개', '돼지고기': '400g', '진간장': '4큰술', '맛술': '2큰술', '매실액': '2큰술', '마늘': '1/3작은술', '육수': '3큰술', '후추가루': '톡톡', '들기름': '적당량', '깨': '약간'}"
148,"{'계란': '2개', '물': '200ml', '소금': '1작은술', '맛술': '1작은술'}"
149,"{'물': '1.5종이컵', '진간장': '1종이컵', '매실청': '0.5종이컵', '설탕': '0.3종이컵', '식초': '0.3종이컵', '깻잎': '30장', '식초 세척': '1숟갈'}"
150,"{'새우': '2줌', '케찹': '2큰술', '간장': '1큰술', '올리고당': '1큰술', '설탕': '1/2큰술'}"
151,"{'마늘': '0.5큰술', '고추가루': '1큰술', '고추장': '2큰술', '진간장': '2큰술', '매실액': '2큰술', '올리고당': '0.5큰술', '설탕': '0.5큰술', '참기름': '1큰술', '깨': '0.5큰술'}"
152,"{'양파': '2~3개', '간장': '1/2컵', '설탕': '1/2컵', '식초': '1컵', '물': '1컵'}"
153,"{'버섯': '5개', '꽈리고추': '5개', '깨': '약간', '참기름': '약간', '간장': '5숟가락', '설탕': '3숟가락', '물': '1종이컵', '마늘': '1/2숟가락'}"
154,"{'두부': '1모', '참치': '1개', '양파': '1/2개', '꽈리고추': '1/2개', '고추': '1/2개', '파': '1/2대', '고추장': '1큰술', '간장': '2~3큰술', '고추가루': '1큰술', '마늘': '1큰술', '후추': '약간', '설탕': '1큰술', '올리고당': '1큰술', '참기름': '약간'}"
155,"{'오이': '1개', '양파': '1/2개', '소금': '1큰술', '고추가루': '2큰술', '간장': '1큰술', '식초': '2큰술', '설탕': '1/2큰술', '매실': '1큰술', '마늘': '1/2큰술', '깨': '1큰술', '참기름': '1/2큰술'}"
156,{}
157,"{'두부': '1모', '설탕': '1숟가락', '맛 간장': '4숟가락', '물': '4숟가락', '마늘': '1숟가락', '참기름': '1숟가락', '후춧가루': '약간', '깨': '약간', '소금 밑간': '약간'}"
158,"{'감자': '3개', '당근': '1/2개', '양파': '1개', '마늘': '5개', '깨': '조금', '진간장': '5T', '설탕': '3T', '올리고당': '1T', '물': '2종이컵', '참기름': '1T'}"
159,{}
160,"{'두부': '290g', '진간장': '7스푼', '파': '3스푼', '마늘': '1/3스푼', '참기름': '1/2스푼', '깨': '1/3스푼', '고추가루': '1/2스푼', '설탕': '1/2스푼', '물': '50ml', '식용류': '1스푼'}"
161,"{'새우': '2줌', '식용유': '약간', '마늘': '1큰술', '버터': '1/2큰술', '소금': '1꼬집', '파슬리가루': '약간'}"
162,"{'버섯': '1개', '배추': '5 6장', '기름': '2T', '파': '1줌', '굴': '1T', '후추': '약간', '소금': '약간'}"
163,"{'파': '2줄', '식초': '2T', '간장': '1T', '고추가루': '3T', '설탕': '2T', '깨': '1T', '참기름': '2T'}"
164,"{'진미채': '180g 1줌', '마늘': '취향껏', '꽈리고추': '취향껏', '고추장': '2큰술', '고추가루': '1큰술', '설탕': '2큰술', '간장': '1.5큰술', '올리고당': '1큰술', '참기름': '1큰술', '마요네즈': '1큰술', '맛술': '1큰술'}"
165,"{'검은콩': '2컵', '물': '3컵', '식용유': '1T', '간장': '8T', '올리고당': '6T', '맛술': '2T', '설탕': '2T'}"
166,{}
167,"{'호박': '1개', '양파': '1/4개', '고추': '1/2개', '식용유': '적당량', '파': '2스푼', '새우': '1스푼', '마늘': '0.5스푼', '참기름': '1스푼', '후춧가루': '적당량'}"
168,{}
169,{}
170,"{'감자': '2개', '양파': '1/2개', '꽈리고추': '1개', '진간장': '5스푼', '설탕': '2스푼', '마늘': '1스푼', '참기름': '1/2스푼', '파': '약간', '깨': '약간', '후추': '약간'}"
171,"{'어묵': '7개', '간장': '5TS', '물': '3TS', '꿀': '1TS', '마늘': '1ts', '고추가루': '1TS'}"
172,"{'감자': '3개', '당근': '1/5개', '식용유': '약간', '맛소금': '약간', '후추': '약간', '카레': '1T'}"
173,"{'배추': '10잎', '고추가루': '3스푼', '까나리 액젓': '3스푼', '마늘': '1스푼', '올리고 당': '2스푼', '식초': '1스푼', '참기름': '2스푼', '깨': '1스푼'}"
174,"{'두부': '1모', '파': '1대', '꽈리고추': '2개', '양파': '1/4개', '설탕': '1숟가락', '간장': '7숟가락', '참기름': '1숟가락', '마늘': '1숟가락', '물': '살짝 정도', '맛술': '1숟가락', '고추가루': '1숟가락'}"
175,"{'햄/소시지': '15개', '어묵': '2개', '당근': '조금', '양파': '1/2개', '굴': '1큰술', '후추': '톡톡', '올리고당': '1티스푼', '카놀라유': '적당량', '깨': '솔솔', '마늘': '1/2큰술'}"
