recipe_id,ingredient_full
47,"['계란 8개', '카놀라유 23T', '빨강파프리카 1T', '노랑파프리카 1T', '다진당근 1T', '다진파 2T', '다진양파 1T', '맛소금 1/2ts', '설탕 1ts', '맛소금 1/3ts', '설탕 2/3ts', '참기름 1ts', '케찹 ', '어린잎 ']"
48,"['김밥김 20장', '물 200ml', '간장 10T', '올리고당 5T', '다진 마늘 1T', '참기름 5T']"
49,"['애호박 1대접', '양파 1/4개', '마늘 1숟가락', '참치 작은거 1캔', '굴소스 1숟가락', '소금 조금']"
50,"['두부 1모', '부침가루(밀가루) 1/2종이컵', '진간장 5T', '다진마늘 1T', '올리고당 2T', '물 1소주컵']"
51,"['오이 1개', '맛살 5개', '굵은소금 2스푼', '설탕 2스푼', '식초 2스푼', '연겨자 1티스푼', '마요네즈 3스푼', '검은깨 조금']"
52,"['달걀 3개', '숙주 1봉지 250g', '후추 톡톡', '굴소스 2T', '식용유 45T', '참기름 조금', '다진 쪽파 생략가능 1/2T']"
53,"['두부 1모', '맛간장 4숟가락', '물 4숟가락', '설탕 1숟가락', '다진 파 1큰술', '다진 마늘 1숟가락', '참기름 1숟가락', '후춧가루 약간', '통깨 ', '소금 약간']"
54,"['풋고추 79개', '된장 1큰술', '고추장 1/3큰술', '다진마늘 1/2큰술', '올리고당 1/2큰술', '매실청 1큰술', '참기름 1/2큰술', '깨소금 약간']"
55,"['맛살 6줄', '달걀 3개', '다진당근 2', '다진 애호박 2', '소금 ', '식용유 ']"
56,"['가지 중간크기 2개', '애호박 1개', '간장 3큰술', '고춧가루 1큰술', '참기름 1큰술', '액젓 1/2큰술', '굴소스 1/2큰술', '다진마늘 1/2큰술', '청양고추 ', '다진파 ', '통깨 ']"
57,"['가지 1개', '두부 조금', '기름 ', '대파흰부분 ', '청양고추 ', '마늘 ', '간장 2큰술', '물 1큰술', '참기름 ']"
58,"['오이 1개', '소고기 다짐육 100g', '다진 파 1큰술', '다진 마늘 1/2큰술', '간장 1큰술', '설탕 1/2큰술', '생강술 1큰술', '배즙 1큰술', '후춧가루 적당량']"
59,"['황태 70g', '고추장 2T', '고추가루 1T', '설탕 1/2T', '다진마늘 1T', '매실액 1T', '술 3T', '간장 1/2T', '올리고당 1T', '마요네즈 1T', '깨 1T']"
60,"['단호박 1/4개', '아몬드 적당량', '잣 적당량', '설탕 1/2숟가락', '간장 2숟가락', '청주 2숟가락', '물 1/2컵', '올리고당 2숟가락']"
61,"['브로콜리 1개', '양파 1/2개', '들깨가루 1컵', '다시마물 1컵', '들기름 1T', '다진 마늘 1T', '액젓 1/2T']"
62,"['두부 1/2모', '부침가루 1/2컵', '케찹 3큰술', '설탕 1큰술', '올리고당 2큰술', '간장 2큰술', '다진마늘 1큰술']"
63,"['참치 큰캔 250g 1개', '다진 양파 1컵', '진간장 1/3컵', '다진마늘 1T', '설탕 1T', '깨소금 1T', '참기름 1T', '밥 1공기', '마요네즈 1T', '김가루 약간', '다진 청양고추 약간']"
64,"['오이 1개', '소금 1/2큰술', '소금 2꼬집', '깨소금 1큰술', '참기름 1/2큰술', '오이 1개', '소금 1/2큰술', '소금 2꼬집', '식초 1큰술', '설탕 1/2큰술', '깨소금 1큰술']"
65,"['닭안심 5토막', '대파 1대', '통마늘 3개', '물 200ml', '간장 3큰술', '자일로스설탕 1.5큰술', '다진마늘 1/2큰술', '후추 톡톡', '맛술 2큰술']"
66,"['참치캔 150g 2캔', '당근 1줌', '양파 1/2개', '대파 1줌', '진간장 2큰술', '설탕 1큰술', '다진 마늘 1/2큰술', '고추가루 1.5큰술']"
67,"['당면 50g', '계란 2개', '대파 1/2대', '당근 조금', '기름 적당량', '굴소스 1티스푼', '후추 톡톡']"
68,"['어묵 4장', '양배추 2장', '당근 조금', '대파 1개', '간장 3T', '굴소스 1T', '물엿 3T', '참기름 1T']"
69,"['팽이버섯 300g 2봉지', '게맛살 10줄', '계란 6개', '감자전분가루 3T', '소금 1/2t', '후추 1/4t']"
70,"['두부 1/2모', '간장 1', '굴소스 1티스푼', '올리고당 1큰술', '카놀라유 조금']"
71,"['파 2줌', '고춧가루 2숟가락', '식초 2숟가락', '간장 1숟가락', '설탕 1숟가락', '참기름 1숟가락', '양파 1개', '간장 4숟가락', '식초 5숟가락', '물 6숟가락', '설탕 4숟가락']"
72,"['고춧가루 1스푼', '다진마늘 1스푼', '참기름 1스푼', '고추장 1스푼', '매실청 1스푼', '물엿 1스푼', '식용유 1스푼', '맛술 1스푼', '건새우 1접시', '마요네즈 선택사항 1스푼']"
73,"['무 중간크기 1/2개', '진간장 6스푼', '참기름 약간', '다진마늘 1/3스푼', '송송썬파 1스푼', '설탕 1/2스푼', '고춧가루 1스푼', '통깨 1/2스푼', '물 1/2종이컵']"
74,"['베이컨 180g', '팽이버섯 2봉지', '올리브유 조금']"
75,"['새송이버섯 2개', '오일 약간', '물 5스푼', '고추장 1스푼', '고춧가루 1티스푼', '참기름 2티스푼', '간장 2티스푼', '설탕 2티스푼', '다진마늘 1티스푼']"
76,"['청포묵 320g', '대파 잎 조금', '김가루 조금', '맛소금 1/2티스푼', '들기름 1스푼', '통깨 1스푼']"
77,"['진미채 1줌', '마요네즈 1T', '간장 3T', '설탕 2T', '올리고당 1T', '다진마늘 1T', '참기름 1T', '통깨 1T']"
78,"['두부 1모', '양파 1개', '달걀 12개', '다진마늘 2T', '청양고추 12개', '고춧가루 1T', '설탕 1T', '참기름 1T', '맛술 1T', '간장 4T', '대파 약간', '깨소금 약간', '물 1/2컵']"
79,"['쪽파 20줄기', '간장 1.5T', '설탕 1.5T', '식초 1.5T', '고춧가루 2T', '참기름 1T', '통깨 1/2T']"
80,"['어묵 4장', '계란 2개', '대파 1/2줄기', '다진마늘 1/2T', '참기름 1/2T', '맛소금 34꼬집']"
81,"['두부 1모', '감자 작 3개', '양파 작 1/2개', '대파 1/3뿌리', '진간장 4숟가락', '물 1컵', '마늘 1숟가락', '고춧가루 2숟가락', '참기름 약간', '식용유 1숟가락']"
82,"['진간장 1스푼', '멸치액젓 또는 참지액 1스푼', '올리고당 2스푼', '참기름 1스푼', '다진마늘 1스푼', '물 2스푼', '두부 1/2모', '청경채 10잎', '대파 뿌리 1개', '청양고추 1개', '전분가루 3스푼', '식용유 두부 구울때 3스푼', '파기름 식용유 3스푼', '소금 1꼬집', '후추 1꼬집']"
83,"['달걀 4개', '크래미 3개', '소금 약간']"
84,"['무우 1/2개', '대파 1대', '꽃소금 취향껏', '다진마늘 1큰술', '들깨가루 3큰술', '참기름 2큰술', '물 220ml']"
85,"['건미역 불린미역 200g 20g', '소금 약간', '채 썬 양파 1/6개', '편 썬 오이 1/6개', '고추장 2숟가락', '고춧가루 1숟가락', '양조간장 1숟가락', '식초 1숟가락', '매실액 1숟가락', '설탕 1숟가락', '다진마늘 1숟가락', '깨 1숟가락', '참기름 1숟가락']"
86,"['진미채 150g', '마요네즈 1T', '간장 1.5T', '굴소스 1T', '맛술 2T', '다진마늘 0.5T', '설탕 0.5T', '올리고당 1T', '깨 0.3T']"
87,"['계란 3개', '부추 1줌', '굴소스 1큰술', '참기름 1큰술', '식용유 적당량']"
88,"['애호박 1개', '참치 1캔', '다진파 1큰술', '다진마늘 1작은술', '소금 1작은술', '간장 1큰술']"
89,"['브로콜리 280g 1개', '두부 1/3모', '맛살 긴건2개 4개', '맛소금 1/3큰술', '참기름 2큰술', '깨소금 1큰술', '설탕 1작은술', '통깨 적당량']"
90,"['가지 1개', '간장 2Ts', '설탕 1.5Ts', '식초 1Ts', '다진 마늘 1/2Ts', '버터 2Ts']"
91,"['삶은 배추 봄동가능 3덩어리', '된장 1큰술', '고추장 1/2큰술', '참기름 1/2큰술', '다진마늘 1/2큰술', '깨소금 1/2큰술', '통깨 1/2큰술', '설탕 1/2작은술', '파 송송썰어 1.5큰술']"
92,"['숙주 270g', '베이컨 220g', '통마늘 6개', '청경채 3송이', '쪽파 1개', '참기름 1스푼', '후추 조금', '굴소스 2스푼']"
93,"['두부 1모', '참치캔 150g 1캔', '배추김치 2/3컵', '양파 1/2개', '대파 1/2대', '참기름 ', '통깨 ', '다진마늘 1숟갈', '설탕 1/2숟갈', '고춧가루 1숟갈', '간장 2숟갈', '생강술 2숟갈', '고추장 2숟갈', '물 1컵', '후춧가루 ']"
94,"['사각어묵(2장) 170g', '굴소스 1/2큰술', '올리고당 1큰술', '통깨 솔솔', '올리브유 적당량']"
95,"['브로콜리 3개', '참기름 2T', '깨 2T', '다진마늘 1T', '고운 소금 2/3T', '다진파 3T']"
96,"['참치통조림 ', '오이 1/2개', '마요네즈 ', '백후추 톡톡', '굵은소금 ']"
